img,method,starting colors,k,n_points,comp type,time,world_size
8,OMP,74563,29,2096704,light,0.138815,4
8,MPI,74563,29,2096704,light,0.201022,2
8,MPI,74563,29,2096704,light,0.121458,3
8,MPI,74563,29,2096704,light,0.117081,4
8,Sequential,74563,29,2096704,light,0.319525,0
9,OMP,74563,29,2359296,light,0.225654,2
9,OMP,74563,29,2359296,light,0.178504,3
9,OMP,74563,29,2359296,light,0.156244,4
9,MPI,74563,29,2359296,light,0.210919,2
9,MPI,74563,29,2359296,light,0.151533,3
9,MPI,74563,29,2359296,light,0.116317,4
9,Sequential,74563,29,2359296,light,0.359498,0
10,OMP,74563,29,2621161,light,0.249981,2
10,OMP,74563,29,2621161,light,0.196621,3
10,OMP,74563,29,2621161,light,0.167673,4
10,MPI,74563,29,2621161,light,0.231408,2
10,MPI,74563,29,2621161,light,0.168524,3
10,MPI,74563,29,2621161,light,0.138661,4
10,Sequential,74563,29,2621161,light,0.39696,0
11,OMP,74563,29,2883204,light,0.310524,2
11,OMP,74563,29,2883204,light,0.307177,3
11,OMP,74563,29,2883204,light,0.283964,4
11,MPI,74563,29,2883204,light,0.349422,2
11,MPI,74563,29,2883204,light,0.250945,3
11,MPI,74563,29,2883204,light,0.243009,4
11,Sequential,74563,29,2883204,light,0.567406,0
12,OMP,74563,29,3143529,light,0.411891,2
12,OMP,74563,29,3143529,light,0.331373,3
12,OMP,74563,29,3143529,light,0.301738,4
12,MPI,74563,29,3143529,light,0.412483,2
12,MPI,74563,29,3143529,light,0.292091,3
12,MPI,74563,29,3143529,light,0.264799,4
12,Sequential,74563,29,3143529,light,0.595525,0
1,OMP,74563,29,262144,light,0.0362652,2
1,OMP,74563,29,262144,light,0.0308583,3
1,OMP,74563,29,262144,light,0.0279445,4
1,MPI,74563,29,262144,light,0.03674,2
1,MPI,74563,29,262144,light,0.0278052,3
1,MPI,74563,29,262144,light,0.0283598,4
1,Sequential,74563,29,262144,light,0.0546757,0
2,OMP,74563,29,524176,light,0.0679171,2
2,OMP,74563,29,524176,light,0.0569255,3
2,OMP,74563,29,524176,light,0.0483861,4
2,MPI,74563,29,524176,light,0.0666297,2
2,MPI,74563,29,524176,light,0.0489916,3
2,MPI,74563,29,524176,light,0.0474091,4
2,Sequential,74563,29,524176,light,0.103151,0
3,OMP,74563,29,784996,light,0.0989885,2
3,OMP,74563,29,784996,light,0.0807264,3
3,OMP,74563,29,784996,light,0.0747141,4
3,MPI,74563,29,784996,light,0.103203,2
3,MPI,74563,29,784996,light,0.080014,3
3,MPI,74563,29,784996,light,0.0841625,4
3,Sequential,74563,29,784996,light,0.148346,0
4,OMP,74563,29,1048576,light,0.126899,2
4,OMP,74563,29,1048576,light,0.103717,3
4,OMP,74563,29,1048576,light,0.0967515,4
4,MPI,74563,29,1048576,light,0.143015,2
4,MPI,74563,29,1048576,light,0.0990937,3
4,MPI,74563,29,1048576,light,0.0954216,4
4,Sequential,74563,29,1048576,light,0.198845,0
5,OMP,74563,29,1308736,light,0.170243,2
5,OMP,74563,29,1308736,light,0.139464,3
5,OMP,74563,29,1308736,light,0.122615,4
5,MPI,74563,29,1308736,light,0.173261,2
5,MPI,74563,29,1308736,light,0.136375,3
5,MPI,74563,29,1308736,light,0.117666,4
5,Sequential,74563,29,1308736,light,0.247331,0
6,OMP,74563,29,1572516,light,0.202102,2
6,OMP,74563,29,1572516,light,0.159286,3
6,OMP,74563,29,1572516,light,0.148023,4
6,MPI,74563,29,1572516,light,0.208549,2
6,MPI,74563,29,1572516,light,0.154151,3
6,MPI,74563,29,1572516,light,0.130885,4
6,Sequential,74563,29,1572516,light,0.29876,0
7,OMP,74563,29,1833316,light,0.238872,2
7,OMP,74563,29,1833316,light,0.188994,3
7,OMP,74563,29,1833316,light,0.167118,4
7,MPI,74563,29,1833316,light,0.232706,2
7,MPI,74563,29,1833316,light,0.178411,3
7,MPI,74563,29,1833316,light,0.168575,4
7,Sequential,74563,29,1833316,light,0.352214,0
8,OMP,74563,29,2096704,light,0.265945,2
8,OMP,74563,29,2096704,light,0.223093,3
8,OMP,74563,29,2096704,light,0.200103,4
8,MPI,74563,29,2096704,light,0.250619,2
8,MPI,74563,29,2096704,light,0.188198,3
8,MPI,74563,29,2096704,light,0.173925,4
8,Sequential,74563,29,2096704,light,0.407755,0
9,OMP,74563,29,2359296,light,0.305981,2
9,OMP,74563,29,2359296,light,0.246042,3
9,OMP,74563,29,2359296,light,0.226367,4
9,MPI,74563,29,2359296,light,0.291874,2
9,MPI,74563,29,2359296,light,0.250361,3
9,MPI,74563,29,2359296,light,0.191877,4
9,Sequential,74563,29,2359296,light,0.399402,0
10,OMP,74563,29,2621161,light,0.251203,2
